global_index,domain,scene,model,qhat_target,qhat,temperature,prompt_version,seed_mode,max_steps,auto_answer,answer_type,noisy_oracle_error_rate
57,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
58,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
59,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
60,tomato,01,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
61,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
62,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
63,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
64,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
65,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
66,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
67,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
68,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
69,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
70,tomato,02,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
71,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
72,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
73,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
74,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
75,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
76,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
77,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
78,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
79,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
80,tomato,03,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
81,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
82,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
83,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
84,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
85,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
86,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
87,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
88,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
89,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
90,tomato,04,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
91,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
92,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
93,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
94,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
95,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
96,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
97,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
98,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
99,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
100,tomato,05,gpt-4o,95,0.8404,5.0,v2,random,50,true,human-proxy,0.1
