index,true_options,selected_true_option,p_true,nonconformity_score,top_tokens,top_logprobs
28,E,E,0.6934296340874362,0.3065703659125638,"E,C,B,D,A","-0.028075283393263817,-3.6530752182006836,-6.340575218200684,-12.028075218200684,-17.309326171875"
29,E,E,0.8695672584866889,0.13043274151331108,"E,D,C,B,A","-0.002641056664288044,-5.940141201019287,-14.908890724182129,-17.018266677856445,-19.674516677856445"
30,E,E,0.6306959270091785,0.36930407299082146,"E,C,D,B,A","-0.1427389234304428,-2.0177388191223145,-9.877114295959473,-14.033364295959473,-19.533363342285156"
31,A,A,0.6754745046424365,0.3245254953575635,"A,B,E,C,D","-0.019915718585252762,-4.098040580749512,-5.848040580749512,-8.644915580749512,-11.223040580749512"
32,A,A,0.5436041018970459,0.4563958981029541,"A,C,E,B,D","-0.10591080784797668,-2.9496607780456543,-3.0434107780456543,-8.699661254882812,-11.934036254882812"
33,E,E,0.7570267285685207,0.2429732714314793,"E,D,C,A,B","-0.027127396315336227,-3.620877504348755,-13.620877265930176,-15.464627265930176,-17.949003219604492"
34,C,C,0.3967955753802555,0.6032044246197446,"C,E,B,D,A","-0.3273713290691376,-2.10862135887146,-2.46799635887146,-2.62424635887146,-13.358621597290039"
35,A,A,0.38723983113974153,0.6127601688602584,"A,C,D,B,E","-0.5415489673614502,-1.4165489673614502,-1.7602989673614502,-7.119673728942871,-9.104048728942871"
36,B,B,0.7621311620865916,0.2378688379134084,"B,C,E,D,A","-0.00856114737689495,-4.852311134338379,-7.305436134338379,-12.539811134338379,-13.836686134338379"
37,A,A,0.810002040561242,0.18999795943875797,"A,E,B,D,C","-0.008622966706752777,-4.758623123168945,-12.930498123168945,-13.914873123168945,-15.305498123168945"
38,D,D,0.10309274720087933,0.8969072527991206,"B,D,E,C,A","-0.001919002621434629,-6.283168792724609,-10.39254379272461,-11.34566879272461,-12.06441879272461"
39,D,D,0.2926473478789816,0.7073526521210184,"C,D,B,E,A","-0.1978205144405365,-1.9165705442428589,-3.4321954250335693,-12.291570663452148,-16.11969566345215"
40,A,A,0.21383043458781179,0.7861695654121882,"B,A,E,C,D","-0.061574213206768036,-2.9521992206573486,-5.4834489822387695,-6.1709489822387695,-6.7334489822387695"
41,E,E,0.7638316937536697,0.23616830624633034,"E,C,D,B,A","-0.018196653574705124,-4.0181965827941895,-10.518197059631348,-13.690072059631348,-15.971322059631348"
42,C,C,0.22463378170187992,0.77536621829812,"B,C,A,E,D","-0.10384324938058853,-2.6038432121276855,-4.0413432121276855,-4.9788432121276855,-10.244468688964844"
43,E,E,0.4434839393791557,0.5565160606208444,"E,B,A,C,D","-0.5796865820884705,-0.8453115820884705,-4.564061641693115,-10.329686164855957,-10.564061164855957"
44,A,A,0.6730801472438906,0.32691985275610935,"A,D,B,C,E","-0.03662226349115372,-3.3491222858428955,-7.255372047424316,-9.817872047424316,-11.020997047424316"
45,E,E,0.727852127529012,0.27214787247098804,"E,A,C,B,D","-0.03983473777770996,-3.24295973777771,-13.680459976196289,-13.867959976196289,-13.992959976196289"
46,C,C,0.5184225419172531,0.4815774580827469,"C,B,A,E,D","-0.3781328499317169,-1.1593828201293945,-6.8156328201293945,-11.331257820129395,-12.925007820129395"
47,C,C,0.5773588451517515,0.4226411548482485,"C,B,E,D,A","-0.17667177319526672,-1.8329217433929443,-6.223546981811523,-12.223546981811523,-16.067296981811523"
48,E,E,0.3975265701601023,0.6024734298398977,"E,B,C,D,A","-0.6436471343040466,-0.9873971343040466,-2.2842721939086914,-10.549897193908691,-15.034272193908691"
49,B,B,0.7275109406038954,0.27248905939610457,"B,C,A,E,D","-0.034854672849178314,-3.3786046504974365,-12.019229888916016,-12.816104888916016,-12.847354888916016"
50,D,D,0.3986732885638514,0.6013267114361486,"E,D,C,B,A","-0.3984408378601074,-1.1171908378601074,-6.648440837860107,-9.960941314697266,-11.960941314697266"
51,D,D,0.9268787265997898,0.07312127340021024,"D,C,E,B,A","-0.00027301779482513666,-8.234647750854492,-13.453397750854492,-17.750272750854492,-22.015897750854492"
52,C,C,0.5869998457130574,0.4130001542869426,"C,B,A,E,D","-0.1290348768234253,-2.129034996032715,-6.238409996032715,-9.175909996032715,-13.754034996032715"
53,B,B,0.4847005502891118,0.5152994497108883,"A,B,E,C,D","-0.6624336838722229,-0.7249336838722229,-12.365558624267578,-13.693683624267578,-15.146808624267578"
54,B,B,0.7033470196951501,0.2966529803048499,"B,C,E,D,A","-0.054909590631723404,-2.9299097061157227,-12.523659706115723,-13.429909706115723,-13.586159706115723"
55,A,A,0.8760614400698536,0.12393855993014635,"A,E,D,B,C","-0.001291904947720468,-6.657541751861572,-12.43879222869873,-14.12629222869873,-14.53254222869873"
56,B,B,0.5060598274264154,0.4939401725735846,"B,C,E,D,A","-0.4400198459625244,-1.0337698459625244,-8.955644607543945,-9.018144607543945,-10.111894607543945"
57,E,E,0.2831255183318788,0.7168744816681212,"D,E,B,C,A","-0.12334498763084412,-2.217094898223877,-5.029594898223877,-8.592095375061035,-15.638970375061035"
58,D,D,0.7731360168619628,0.22686398313803724,"D,E,C,B,A","-0.01489979773759842,-4.218024730682373,-10.014900207519531,-14.249275207519531,-17.73365020751953"
59,D,D,0.2376964472870538,0.7623035527129463,"B,D,C,E,A","-0.20033179223537445,-2.122206687927246,-3.278456687927246,-3.731581687927246,-11.465956687927246"
60,E,E,0.24662226711559565,0.7533777328844043,"C,A,E,B,D","-0.316311776638031,-1.9413118362426758,-2.066311836242676,-7.441311836242676,-10.847561836242676"
61,E,E,0.49800288692463807,0.501997113075362,"E,C,D,A,B","-0.5297328233718872,-0.8891078233718872,-8.654732704162598,-10.482857704162598,-12.576607704162598"
62,E,E,0.4236222267214462,0.5763777732785538,"E,C,A,B,D","-0.4281485676765442,-1.2562735080718994,-2.7718985080718994,-7.2250237464904785,-10.06877326965332"
63,D,D,0.23354076137438293,0.766459238625617,"E,D,C,A,B","-0.03478145971894264,-3.3785314559936523,-9.784781455993652,-11.362906455993652,-12.644156455993652"
64,B,B,0.33141416954939124,0.6685858304506087,"D,B,C,E,A","-0.12326711416244507,-2.15451717376709,-13.26389217376709,-14.54514217376709,-16.451391220092773"
65,B,B,0.6652004154163,0.33479958458369996,"B,C,D,A,E","-0.05804825946688652,-2.8861732482910156,-7.433048248291016,-11.948673248291016,-14.136173248291016"
66,D,D,0.2725895693609425,0.7274104306390575,"B,D,A,C,E","-0.08961767703294754,-2.4802427291870117,-6.323992729187012,-8.573992729187012,-12.058367729187012"
67,E,E,0.4025889019877067,0.5974110980122933,"C,E,D,B,A","-0.3049882650375366,-1.3362382650375366,-11.383112907409668,-12.633112907409668,-13.851862907409668"
68,E,E,0.4834333244372821,0.5165666755627178,"E,C,D,B,A","-0.6474811434745789,-0.7412311434745789,-9.788105964660645,-9.991230964660645,-15.366230964660645"
69,B,B,0.25934956625627564,0.7406504337437243,"A,E,B,C,D","-0.4796378016471863,-1.542137861251831,-1.792137861251831,-8.26088809967041,-8.57338809967041"
70,D,D,0.11461717661135713,0.8853828233886428,"B,D,C,E,A","-0.002740089315921068,-5.924614906311035,-10.471489906311035,-10.737114906311035,-12.690239906311035"
71,E,E,0.3329566483840831,0.6670433516159169,"C,E,D,A,B","-0.13460658490657806,-2.0721065998077393,-11.10335636138916,-12.86898136138916,-13.93148136138916"
72,C,C,0.33957906216529554,0.6604209378347045,"D,C,B,E,A","-0.5643854141235352,-1.1268854141235352,-2.236260414123535,-10.986260414123535,-14.845635414123535"
73,E,E,0.6478190888865839,0.3521809111134161,"E,C,D,A,B","-0.08779007196426392,-2.478415012359619,-8.837790489196777,-10.900290489196777,-13.462790489196777"
74,C,C,0.8439032467610358,0.15609675323896421,"C,A,B,E,D","-0.0010710387723520398,-7.266695976257324,-7.907320976257324,-13.001070976257324,-13.422945976257324"
75,C,C,0.11760609030483629,0.8823939096951637,"A,C,E,B,D","-0.0026527056470513344,-5.940152645111084,-11.768278121948242,-12.940153121948242,-16.893278121948242"
76,C,C,0.7932397514740238,0.2067602485259762,"C,E,B,D,A","-0.01373348943889141,-4.294983386993408,-13.107483863830566,-15.154358863830566,-19.52935791015625"
77,C,C,0.04341682099746197,0.9565831790025381,"B,C,E,D,A","-9.698698704596609e-05,-9.250097274780273,-15.828222274780273,-18.125097274780273,-19.062597274780273"
78,C,C,0.09088263212830647,0.9091173678716935,"D,C,E,B,A","-0.0011198573047295213,-6.813620090484619,-11.516744613647461,-14.282369613647461,-17.96986961364746"
79,E,E,0.5513943286790536,0.4486056713209464,"E,B,C,A,D","-0.19159187376499176,-1.7540918588638306,-7.441591739654541,-7.691591739654541,-9.2853422164917"
80,C,C,0.7451594554144042,0.2548405445855958,"C,A,D,B,E","-0.010168964974582195,-4.61954402923584,-8.83829402923584,-9.32266902923584,-10.60391902923584"
81,E,E,0.14134103607489681,0.8586589639251032,"B,E,C,A,D","-0.005604869220405817,-5.2087297439575195,-9.38060474395752,-12.28685474395752,-13.34935474395752"
82,E,E,0.3519209580717029,0.6480790419282971,"D,E,C,A,B","-0.19907286763191223,-1.7146978378295898,-7.71469783782959,-12.57407283782959,-13.15219783782959"
83,C,C,0.4636703428381956,0.5363296571618044,"D,C,E,B,A","-0.5898448824882507,-0.8085948824882507,-9.246094703674316,-13.199219703674316,-16.746095657348633"
84,E,E,0.3827279282267556,0.6172720717732444,"C,E,D,B,A","-0.2737348675727844,-1.4299848079681396,-9.367485046386719,-9.789360046386719,-15.242485046386719"
85,C,C,0.8029214351520947,0.1970785648479053,"C,D,B,E","-0.012133438140153885,-4.418383598327637,-13.699633598327637,-16.02775764465332"
86,E,E,0.5245871775739592,0.47541282242604077,"E,C,D,A,B","-0.39217275381088257,-1.1265478134155273,-8.454672813415527,-10.360922813415527,-12.235922813415527"
87,E,E,0.32148991317607467,0.6785100868239253,"A,E,B,C,D","-0.1475994735956192,-1.991349458694458,-7.288224697113037,-10.772599220275879,-11.881974220275879"
88,E,E,0.8434792892399836,0.1565207107600164,"E,C,D,A,B","-0.0007678175461478531,-7.453892707824707,-8.875767707824707,-10.016392707824707,-12.641392707824707"
89,B,B,0.056144104879994196,0.9438558951200058,"E,B,D,C,A","-0.00033403540146537125,-8.234708786010742,-10.094083786010742,-11.094083786010742,-11.594083786010742"
90,E,E,0.2372508807733691,0.7627491192266309,"A,E,D,C,B","-0.05719378963112831,-2.9946937561035156,-5.197818756103516,-12.619693756103516,-13.275943756103516"
91,C,C,0.6979544655198049,0.3020455344801951,"C,E,B,D,A","-0.023828137665987015,-3.7894530296325684,-7.101953029632568,-9.117578506469727,-15.914453506469727"
92,E,E,0.07154483385366088,0.9284551661463392,"D,E,C,A,B","-0.0005197895807214081,-7.594269752502441,-11.281769752502441,-15.797394752502441,-16.547395706176758"
93,E,E,0.7985145011228605,0.2014854988771395,"E,A,C,D,B","-0.00851375050842762,-4.774138927459717,-10.477263450622559,-13.680388450622559,-14.852263450622559"
94,A,A,0.013589149300597883,0.9864108506994022,"E,C,A,D,B","-8.399378566537052e-05,-9.468833923339844,-12.671958923339844,-12.718833923339844,-15.484458923339844"
95,C,C,0.32609338498286444,0.6739066150171356,"B,C,E,D,A","-1.0302855968475342,-1.0459105968475342,-1.2334105968475342,-7.967785835266113,-12.436535835266113"
96,E,E,0.240590129644538,0.759409870355462,"C,E,D,B,A","-0.03580988571047783,-3.3483099937438965,-10.426434516906738,-13.707684516906738,-16.238935470581055"
97,D,D,0.4755756232602829,0.5244243767397171,"D,A,E,C,B","-0.3599802851676941,-1.2349803447723389,-4.50060510635376,-8.984980583190918,-9.484980583190918"
98,B,B,0.8340792116044073,0.16592078839559266,"B,D,C,E,A","-0.0036592145916074514,-5.628659248352051,-10.80053424835205,-12.90990924835205,-16.097408294677734"
99,B,B,0.4617490731275955,0.5382509268724045,"A,B,C,D,E","-0.5231283903121948,-0.8981283903121948,-13.679378509521484,-13.913753509521484,-16.585628509521484"
100,E,E,0.5431600890992828,0.4568399109007172,"E,A,C,B,D","-0.33949416875839233,-1.245744228363037,-9.105118751525879,-10.792618751525879,-12.511368751525879"
